IP,Port,Type
213.6.38.50,45540,proxy
213.6.227.38,54796,proxy
213.6.149.138,41088,proxy
185.132.251.144,8080,proxy
213.6.226.202,52656,proxy
85.114.98.246,8080,proxy
213.6.158.192,33746,proxy
185.132.251.148,8080,proxy
85.114.102.86,8080,proxy
213.6.158.192,8080,proxy
5.133.29.19,8080,proxy
85.114.98.98,8080,proxy
92.84.56.10,50782,proxy
89.35.236.34,8080,proxy
31.14.49.248,8081,proxy
92.80.1.202,8082,proxy
188.27.36.237,53281,proxy
193.29.187.226,9050,proxy
5.15.61.170,8080,proxy
86.34.197.6,23500,proxy
89.47.120.66,8081,proxy
89.238.255.34,8082,proxy
86.121.115.66,8081,proxy
79.119.253.146,53281,proxy
86.123.166.109,8080,proxy
45.82.29.186,5298,proxy
188.27.176.57,8081,proxy
188.27.56.251,53281,proxy
89.121.209.45,3128,proxy
45.82.29.181,8912,proxy
188.27.48.0,53281,proxy
85.186.10.55,55443,proxy
31.14.49.1,8081,proxy
45.82.28.144,1379,proxy
188.173.39.232,3128,proxy
5.15.187.62,8080,proxy
82.79.36.22,8080,proxy
86.121.126.153,8089,proxy
86.121.126.153,8082,proxy
79.119.155.137,53281,proxy
79.117.254.88,8118,proxy
86.121.126.153,8083,proxy
195.225.142.169,8080,proxy
5.12.250.38,3128,proxy
188.27.47.158,53281,proxy
188.27.73.179,9050,proxy
45.82.29.186,6666,proxy
5.2.212.133,8080,proxy
82.79.69.250,8080,proxy
188.27.73.179,8080,proxy
82.79.35.164,53281,proxy
85.204.116.123,8080,proxy
5.2.212.133,443,proxy
79.115.180.110,9050,proxy
79.119.154.182,53281,proxy
194.152.42.19,8080,proxy
194.152.42.18,8080,proxy
81.196.173.125,80,proxy
188.24.249.208,8080,proxy
81.18.94.195,53281,proxy
5.15.16.230,8080,proxy
86.123.23.49,10801,proxy
188.214.88.202,3128,proxy
89.47.120.66,8080,proxy
31.14.49.1,8080,proxy
188.27.57.94,53281,proxy
185.120.146.40,3128,proxy
5.15.46.139,8080,proxy
37.120.140.158,3128,proxy
185.123.143.247,3128,proxy
185.123.143.248,3128,proxy
86.125.112.230,57373,proxy
185.123.143.242,3128,proxy
185.123.143.251,3128,proxy
185.106.122.10,9050,proxy
5.15.188.107,8080,proxy
194.110.212.4,80,proxy
176.223.60.66,8080,proxy
5.15.52.65,8080,proxy
92.86.10.42,42658,proxy
80.96.28.15,8080,proxy
89.34.208.223,53073,proxy
81.196.167.146,8080,proxy
109.99.148.114,8080,proxy
83.97.20.67,1080,proxy
78.96.125.24,3128,proxy
89.32.216.10,3128,proxy
82.77.136.57,8080,proxy
46.214.144.10,3128,proxy
5.15.80.117,8080,proxy
5.15.57.223,8080,proxy
5.12.136.46,8080,proxy
37.120.140.144,3128,proxy
86.120.55.206,8080,proxy
188.173.32.55,8888,proxy
86.123.88.138,3128,proxy
188.240.0.165,8080,proxy
82.76.169.222,8080,proxy
5.15.191.63,8080,proxy
86.124.130.141,3128,proxy
5.15.29.190,8080,proxy
185.232.66.126,5836,proxy
195.225.142.205,30681,proxy
185.232.66.124,5836,proxy
46.102.73.244,53281,proxy
185.232.66.123,5836,proxy
185.232.66.127,5836,proxy
185.232.65.69,5836,proxy
185.232.65.68,5836,proxy
185.232.65.66,5836,proxy
185.232.65.65,5836,proxy
185.232.65.67,5836,proxy
79.115.245.227,8080,proxy
89.43.176.7,8080,proxy
188.212.102.228,5836,proxy
188.173.225.165,45633,proxy
46.102.78.218,8080,proxy
